iter	Logloss
0	0.6925968339
1	0.6920772778
2	0.6915866432
3	0.6911221282
4	0.6906769357
5	0.6902619884
6	0.6898826184
7	0.689515229
8	0.6891688771
9	0.6888392338
10	0.6885361866
11	0.6882406553
12	0.6879690329
13	0.687707612
14	0.6874567588
15	0.6872234322
16	0.6870043281
17	0.6867904303
18	0.6865891083
19	0.6863984274
20	0.6862158382
21	0.686047439
22	0.6858931682
23	0.6857429196
24	0.6856000748
25	0.6854674586
26	0.6853459781
27	0.6852282748
28	0.6851161089
29	0.6849975141
30	0.6848981086
31	0.6848007344
32	0.6847104052
33	0.6846186063
34	0.6845250603
35	0.6844447605
36	0.6843749526
37	0.684309124
38	0.6842358206
39	0.6841638066
40	0.6840937846
41	0.684039125
42	0.6839846684
43	0.6839229326
44	0.6838692133
45	0.6838143307
46	0.6837625622
47	0.6837202497
48	0.6836658878
49	0.68362101
50	0.6835748231
51	0.6835351676
52	0.6835006715
53	0.6834599843
54	0.6834258198
55	0.6833942633
56	0.6833630129
57	0.6833311686
58	0.6832973458
59	0.6832654656
60	0.6832422572
61	0.6832043216
62	0.6831728219
63	0.6831504199
64	0.6831214118
65	0.6830939786
66	0.6830664745
67	0.6830334124
68	0.6830122123
69	0.6829899245
70	0.6829716719
71	0.6829464679
72	0.6829223749
73	0.6828978793
74	0.6828786112
75	0.6828616839
76	0.6828447439
77	0.6828296786
78	0.6828127758
79	0.6827822675
80	0.6827632865
81	0.6827389631
82	0.6827222499
83	0.6827052429
84	0.6826877772
85	0.6826674929
86	0.6826464124
87	0.6826155185
88	0.6825988821
89	0.6825777185
90	0.6825572352
91	0.6825399158
92	0.682526933
93	0.6825074625
94	0.6824902313
95	0.6824692647
96	0.6824575045
97	0.6824397169
98	0.6824243258
99	0.6824062213
100	0.6823909677
101	0.682375981
102	0.6823583776
103	0.6823425571
104	0.6823241421
105	0.6823109658
106	0.6822926748
107	0.6822802414
108	0.682272009
109	0.6822562672
110	0.6822269895
111	0.6822120823
112	0.6821969257
113	0.68218011
114	0.6821665598
115	0.6821519631
116	0.6821357526
117	0.6821177442
118	0.6821072133
119	0.6820767718
120	0.6820619374
121	0.6820482236
122	0.6820370943
123	0.6820210546
124	0.6820079447
125	0.681987921
126	0.6819719654
127	0.6819591923
128	0.6819345977
129	0.681921238
130	0.6819046541
131	0.681889175
132	0.6818736606
133	0.6818579948
134	0.681839319
135	0.6818264751
136	0.6818093385
137	0.6817985017
138	0.68178456
139	0.6817728612
140	0.6817595054
141	0.6817416596
142	0.6817317768
143	0.6817224648
144	0.6817040318
145	0.6816836303
146	0.6816727739
147	0.6816512762
148	0.6816319968
149	0.6816162208
150	0.6816065658
151	0.6815938599
152	0.6815780438
153	0.6815621198
154	0.6815508066
155	0.6815326394
156	0.6815076842
157	0.6814943479
158	0.6814819689
159	0.6814585221
160	0.6814469762
161	0.6814358471
162	0.6814186461
163	0.6814065502
164	0.681392017
165	0.6813802997
166	0.6813636733
167	0.6813554402
168	0.6813422396
169	0.6813295612
170	0.6813194709
171	0.6813100953
172	0.6812973775
173	0.6812857908
174	0.6812770337
175	0.6812630299
176	0.6812514561
177	0.6812400691
178	0.6812288286
179	0.6812198328
180	0.6811980816
181	0.6811867759
182	0.6811779316
183	0.6811670953
184	0.6811564282
185	0.681135172
186	0.6811198558
187	0.6811087124
188	0.6810999766
189	0.6810850071
190	0.681067479
191	0.6810523297
192	0.6810374328
193	0.6810260262
194	0.6810129308
195	0.6809953953
196	0.6809756073
197	0.6809624186
198	0.6809510336
199	0.680943527
200	0.6809294098
201	0.6809154782
202	0.6809064173
203	0.6808904071
204	0.6808783828
205	0.680863207
206	0.680850576
207	0.6808400812
208	0.6808284845
209	0.6808109904
210	0.6807985145
211	0.6807806114
212	0.680766466
213	0.6807537626
214	0.6807380063
215	0.6807246969
216	0.6807156902
217	0.6807022706
218	0.6806885051
219	0.6806802395
220	0.6806673593
221	0.6806507516
222	0.6806364685
223	0.6806298748
224	0.680617802
225	0.6806048963
226	0.6805951983
227	0.6805854897
228	0.6805706784
229	0.6805468848
230	0.6805363803
231	0.6805191082
232	0.6805124999
233	0.6804958695
234	0.680481099
235	0.6804683966
236	0.6804565
237	0.6804438488
238	0.6804346532
239	0.6804183245
240	0.6804089037
241	0.6803997537
242	0.6803873502
243	0.6803701857
244	0.68035907
245	0.6803504681
246	0.6803358058
247	0.6803243323
248	0.6803171437
249	0.6803097826
250	0.6802967214
251	0.6802829335
252	0.6802750003
253	0.6802637522
